UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temperature difference,Average Temperature,Power,Downtime_Hours,Maintenance_Cost
1535,L48714,1,298.0,308.8,1757,29.1,71,0,0,0,0,0,0,10.800000000000011,303.4,51128.700000000004,0.0,330.7
1536,L48715,1,298.0,308.8,1581,36.1,73,0,0,0,0,0,0,10.800000000000011,303.4,57074.100000000006,0.07,318.91
1537,M16396,2,298.2,308.9,1326,54.4,75,0,0,0,0,0,0,10.699999999999989,303.54999999999995,72134.4,0.11,138.41
1538,M16397,2,298.4,309.1,1467,39.6,78,0,0,0,0,0,0,10.700000000000045,303.75,58093.200000000004,0.15,662.1
1539,L48718,1,298.4,309.1,1798,29.6,81,0,0,0,0,0,0,10.700000000000045,303.75,53220.8,0.1,805.38
1540,M16399,2,298.5,309.2,1449,46.4,83,0,0,0,0,0,0,10.699999999999989,303.85,67233.59999999999,0.19,874.35
1541,M16400,2,298.4,309.1,1525,39.3,86,0,0,0,0,0,0,10.700000000000045,303.75,59932.49999999999,0.07,470.75
1542,L48721,1,298.4,309.0,2304,15.1,89,0,0,0,0,0,0,10.600000000000023,303.7,34790.4,0.01,291.1
1543,L48722,1,298.3,308.9,1379,54.7,91,0,0,0,0,0,0,10.599999999999966,303.6,75431.3,0.0,580.64
1544,L48723,1,298.4,308.9,1628,34.9,93,0,0,0,0,0,0,10.5,303.65,56817.2,0.1,545.97
1545,L48724,1,298.4,309.0,1474,52.7,95,0,0,0,0,0,0,10.600000000000023,303.7,77679.8,0.11,656.72
1546,M16405,2,298.4,309.0,1544,38.8,97,0,0,0,0,0,0,10.600000000000023,303.7,59907.2,0.28,810.41
1547,L48726,1,298.4,308.9,1391,48.4,100,0,0,0,0,0,0,10.5,303.65,67324.4,0.01,523.95
1548,L48727,1,298.3,308.9,1348,55.5,102,0,0,0,0,0,0,10.599999999999966,303.6,74814.0,0.16,824.28
1549,M16408,2,298.3,308.8,1349,52.1,104,0,0,0,0,0,0,10.5,303.55,70282.90000000001,0.17,849.85
1550,L48729,1,298.4,308.9,1706,29.5,107,0,0,0,0,0,0,10.5,303.65,50327.0,0.21,666.6
1551,L48730,1,298.4,308.9,1638,32.4,109,0,0,0,0,0,0,10.5,303.65,53071.2,0.19,596.53
1552,L48731,1,298.4,308.8,1458,40.1,111,0,0,0,0,0,0,10.400000000000034,303.6,58465.8,0.0,180.13
1553,L48732,1,298.5,308.9,1781,27.8,113,0,0,0,0,0,0,10.399999999999977,303.7,49511.8,0.19,703.08
1554,L48733,1,298.5,308.8,1332,59.1,115,0,0,0,0,0,0,10.300000000000011,303.65,78721.2,0.1,511.0
1555,M16414,2,298.4,308.7,1584,31.7,117,0,0,0,0,0,0,10.300000000000011,303.54999999999995,50212.799999999996,0.23,877.88
1556,L48735,1,298.4,308.6,1491,42.0,120,0,0,0,0,0,0,10.200000000000045,303.5,62622.0,0.06,609.62
1557,H30970,0,298.4,308.5,1398,47.1,122,0,0,0,0,0,0,10.100000000000023,303.45,65845.8,0.21,785.89
1558,L48737,1,298.3,308.4,1585,30.6,127,0,0,0,0,0,0,10.099999999999966,303.35,48501.0,0.19,946.79
1559,M16418,2,298.2,308.3,1476,43.5,129,0,0,0,0,0,0,10.100000000000023,303.25,64206.0,0.2,904.59
1560,L48739,1,298.2,308.3,1458,41.8,132,0,0,0,0,0,0,10.100000000000023,303.25,60944.399999999994,0.05,692.5
1561,M16420,2,298.2,308.4,1510,39.9,134,0,0,0,0,0,0,10.199999999999989,303.29999999999995,60249.0,0.2,1122.96
1562,L48741,1,298.2,308.4,1388,53.8,137,0,0,0,0,0,0,10.199999999999989,303.29999999999995,74674.4,0.22,1015.72
1563,L48742,1,298.2,308.3,2216,16.8,139,0,0,0,0,0,0,10.100000000000023,303.25,37228.8,0.15,782.62
1564,L48743,1,298.2,308.3,1402,51.0,141,0,0,0,0,0,0,10.100000000000023,303.25,71502.0,0.1,749.31
1565,M16424,2,298.0,308.2,2090,19.0,143,0,0,0,0,0,0,10.199999999999989,303.1,39710.0,0.05,883.26
1566,L48745,1,298.0,308.2,1459,42.1,146,0,0,0,0,0,0,10.199999999999989,303.1,61423.9,0.09,850.43
1567,M16426,2,298.0,308.1,1403,44.8,148,0,0,0,0,0,0,10.100000000000023,303.05,62854.399999999994,0.23,801.83
1568,L48747,1,298.1,308.2,1521,39.3,151,0,0,0,0,0,0,10.099999999999966,303.15,59775.299999999996,0.12,1009.21
1569,L48748,1,298.2,308.2,1407,47.1,153,0,0,0,0,0,0,10.0,303.2,66269.7,0.21,1163.58
1570,M16429,2,298.1,308.2,1654,35.3,155,0,0,0,0,0,0,10.099999999999966,303.15,58386.2,0.22,1172.21
1571,L48750,1,298.2,308.4,1452,43.5,158,0,0,0,0,0,0,10.199999999999989,303.29999999999995,63162.0,0.2,1221.41
1572,L48751,1,298.3,308.4,1528,37.3,160,0,0,0,0,0,0,10.099999999999966,303.35,56994.399999999994,0.2,1310.38
1573,L48752,1,298.2,308.3,1230,59.6,162,0,0,0,0,0,0,10.100000000000023,303.25,73308.0,0.18,1249.49
1574,L48753,1,298.2,308.2,1466,42.4,164,0,0,0,0,0,0,10.0,303.2,62158.4,0.16,1031.1
1575,L48754,1,298.2,308.2,1478,50.1,166,0,0,0,0,0,0,10.0,303.2,74047.8,0.06,858.74
1576,L48755,1,298.2,308.3,2057,18.0,168,0,0,0,0,0,0,10.100000000000023,303.25,37026.0,0.25,815.56
1577,L48756,1,298.3,308.4,1490,41.7,170,0,0,0,0,0,0,10.099999999999966,303.35,62133.00000000001,0.29,1141.63
1578,L48757,1,298.3,308.4,1484,43.4,172,0,0,0,0,0,0,10.099999999999966,303.35,64405.6,0.14,1077.87
1579,L48758,1,298.3,308.4,1593,37.0,174,0,0,0,0,0,0,10.099999999999966,303.35,58941.0,0.28,1156.53
1580,L48759,1,298.3,308.3,1444,43.8,176,0,0,0,0,0,0,10.0,303.3,63247.2,0.3,896.77
1581,M16440,2,298.3,308.4,1444,47.5,178,0,0,0,0,0,0,10.099999999999966,303.35,68590.0,0.15,997.01
1582,M16441,2,298.2,308.3,1560,33.0,181,0,0,0,0,0,0,10.100000000000023,303.25,51480.0,0.22,1221.8
1583,H30996,0,298.1,308.3,1530,42.0,184,0,0,0,0,0,0,10.199999999999989,303.20000000000005,64260.0,0.19,956.11
1584,L48763,1,298.2,308.4,1310,61.0,189,1,0,0,0,1,0,10.199999999999989,303.29999999999995,79910.0,7.44,8409.85
1585,M16444,2,298.2,308.3,1639,33.3,191,0,0,0,0,0,0,10.100000000000023,303.25,54578.7,0.01,1029.74
1586,L48765,1,298.2,308.3,1400,48.7,194,0,0,0,0,0,0,10.100000000000023,303.25,68180.0,0.14,1277.7
1587,M16446,2,298.3,308.4,1486,44.2,196,0,0,0,0,0,0,10.099999999999966,303.35,65681.2,0.24,1476.89
1588,M16447,2,298.2,308.3,1448,43.3,199,0,0,0,0,0,0,10.100000000000023,303.25,62698.399999999994,0.1,1038.33
1589,L48768,1,298.2,308.3,1688,32.0,202,0,0,0,0,0,0,10.100000000000023,303.25,54016.0,0.24,1277.56
1590,M16449,2,298.1,308.3,1453,41.5,204,0,0,0,0,0,0,10.199999999999989,303.20000000000005,60299.5,0.2,1252.26
1591,L48770,1,298.2,308.4,1497,37.7,207,0,0,0,0,0,0,10.199999999999989,303.29999999999995,56436.9,0.21,1342.41
1592,L48771,1,298.2,308.4,1355,49.4,209,0,0,0,0,0,0,10.199999999999989,303.29999999999995,66937.0,0.09,1215.61
1593,L48772,1,298.1,308.4,1592,38.2,211,0,0,0,0,0,0,10.299999999999955,303.25,60814.4,0.14,1408.75
1594,L48773,1,298.0,308.3,1544,34.7,213,0,0,0,0,0,0,10.300000000000011,303.15,53576.8,0.05,765.31
1595,M16454,2,298.0,308.2,1373,51.2,215,0,0,0,0,0,0,10.199999999999989,303.1,70297.6,0.07,1207.7
1596,L48775,1,298.0,308.2,1365,52.9,218,1,0,0,0,1,0,10.199999999999989,303.1,72208.5,8.36,9523.11
1597,L48776,1,298.0,308.1,1877,24.3,0,0,0,0,0,0,0,10.100000000000023,303.05,45611.1,0.04,4.72
1598,L48777,1,297.9,308.1,1531,40.8,2,0,0,0,0,0,0,10.200000000000045,303.0,62464.799999999996,0.06,0.0
1599,L48778,1,297.9,308.0,1501,36.7,4,0,0,0,0,0,0,10.100000000000023,302.95,55086.700000000004,0.17,180.85
1600,L48779,1,297.9,308.0,1490,46.2,6,0,0,0,0,0,0,10.100000000000023,302.95,68838.0,0.13,53.42
1601,M16460,2,297.8,307.8,1543,43.7,8,0,0,0,0,0,0,10.0,302.8,67429.1,0.08,371.69
1602,L48781,1,297.8,307.8,1597,38.2,11,0,0,0,0,0,0,10.0,302.8,61005.4,0.26,371.29
1603,H31016,0,297.8,307.9,1600,33.5,13,0,0,0,0,0,0,10.099999999999966,302.85,53600.0,0.16,105.68
1604,M16463,2,297.8,307.8,1622,32.1,18,0,0,0,0,0,0,10.0,302.8,52066.200000000004,0.28,62.1
1605,L48784,1,297.8,307.8,1452,39.8,21,0,0,0,0,0,0,10.0,302.8,57789.6,0.19,383.59
1606,L48785,1,297.8,307.8,1396,42.5,23,0,0,0,0,0,0,10.0,302.8,59330.0,0.0,219.42
1607,L48786,1,297.8,307.7,1505,39.7,25,0,0,0,0,0,0,9.899999999999977,302.75,59748.50000000001,0.27,362.63
1608,L48787,1,297.8,307.8,1412,48.3,27,0,0,0,0,0,0,10.0,302.8,68199.59999999999,0.26,485.55
1609,L48788,1,297.8,307.7,1393,38.0,29,0,0,0,0,0,0,9.899999999999977,302.75,52934.0,0.19,282.76
1610,L48789,1,297.7,307.7,1581,34.9,31,0,0,0,0,0,0,10.0,302.7,55176.899999999994,0.16,475.08
1611,L48790,1,297.8,307.8,1573,37.9,33,0,0,0,0,0,0,10.0,302.8,59616.7,0.14,453.9
1612,M16471,2,297.8,307.9,1726,27.3,35,0,0,0,0,0,0,10.099999999999966,302.85,47119.8,0.14,69.16
1613,M16472,2,297.9,307.9,1540,39.8,38,0,0,0,0,0,0,10.0,302.9,61291.99999999999,0.23,210.72
1614,L48793,1,297.9,308.0,1296,62.9,41,0,0,0,0,0,0,10.100000000000023,302.95,81518.4,0.15,659.69
1615,M16474,2,297.8,307.9,1802,25.8,43,0,0,0,0,0,0,10.099999999999966,302.85,46491.6,0.05,404.83
1616,L48795,1,297.8,307.9,1447,48.6,46,0,0,0,0,0,0,10.099999999999966,302.85,70324.2,0.02,60.64
1617,H31030,0,297.8,307.8,1662,30.7,48,0,0,0,0,0,0,10.0,302.8,51023.4,0.04,44.44
1618,L48797,1,297.8,307.8,1563,34.3,53,0,0,0,0,0,0,10.0,302.8,53610.899999999994,0.08,376.17
1619,L48798,1,297.9,307.8,1286,59.5,55,0,0,0,0,0,0,9.900000000000034,302.85,76517.0,0.11,213.65
1620,L48799,1,297.9,307.7,1590,34.6,57,0,0,0,0,0,0,9.800000000000011,302.79999999999995,55014.0,0.27,507.49
1621,L48800,1,297.9,307.7,1492,43.7,59,0,0,0,0,0,0,9.800000000000011,302.79999999999995,65200.4,0.07,357.91
1622,L48801,1,297.7,307.6,1844,21.9,61,0,0,0,0,0,0,9.900000000000034,302.65,40383.6,0.1,391.43
1623,H31036,0,297.7,307.6,1538,38.3,63,0,0,0,0,0,0,9.900000000000034,302.65,58905.399999999994,0.07,553.98
1624,L48803,1,297.7,307.6,1921,22.9,68,0,0,0,0,0,0,9.900000000000034,302.65,43990.899999999994,0.16,775.21
1625,M16484,2,297.8,307.8,1310,57.9,70,0,0,0,0,0,0,10.0,302.8,75849.0,0.19,468.16
1626,L48805,1,297.9,307.8,1365,46.9,73,0,0,0,0,0,0,9.900000000000034,302.85,64018.5,0.16,355.4
1627,M16486,2,297.9,307.8,1303,59.3,75,0,0,0,0,0,0,9.900000000000034,302.85,77267.9,0.29,723.33
1628,L48807,1,297.9,307.8,1499,37.5,78,0,0,0,0,0,0,9.900000000000034,302.85,56212.5,0.3,934.72
1629,L48808,1,297.9,307.8,1451,38.2,80,0,0,0,0,0,0,9.900000000000034,302.85,55428.200000000004,0.25,589.52
1630,M16489,2,297.9,307.9,1336,54.4,82,0,0,0,0,0,0,10.0,302.9,72678.4,0.24,777.55
1631,L48810,1,297.9,307.9,1412,44.5,85,0,0,0,0,0,0,10.0,302.9,62834.0,0.11,409.43
1632,L48811,1,298.0,308.0,1433,39.2,87,0,0,0,0,0,0,10.0,303.0,56173.600000000006,0.17,608.19
1633,L48812,1,297.9,307.9,1426,43.6,89,0,0,0,0,0,0,10.0,302.9,62173.6,0.11,380.71
1634,L48813,1,297.9,307.9,1476,45.2,91,0,0,0,0,0,0,10.0,302.9,66715.2,0.24,696.62
1635,H31048,0,297.9,307.9,1406,58.5,93,0,0,0,0,0,0,10.0,302.9,82251.0,0.05,497.53
1636,L48815,1,297.8,307.8,1383,56.5,98,0,0,0,0,0,0,10.0,302.8,78139.5,0.07,651.22
1637,L48816,1,297.9,307.8,1505,37.3,100,0,0,0,0,0,0,9.900000000000034,302.85,56136.49999999999,0.01,776.71
1638,L48817,1,297.9,307.8,1665,33.9,102,0,0,0,0,0,0,9.900000000000034,302.85,56443.5,0.18,631.67
1639,L48818,1,297.9,307.8,1397,45.0,104,0,0,0,0,0,0,9.900000000000034,302.85,62865.0,0.21,430.04
1640,M16499,2,297.9,307.8,1450,43.5,106,0,0,0,0,0,0,9.900000000000034,302.85,63075.0,0.0,499.68
1641,L48820,1,298.0,307.8,1567,36.4,109,0,0,0,0,0,0,9.800000000000011,302.9,57038.799999999996,0.15,739.9
1642,M16501,2,298.0,308.0,1555,37.0,111,0,0,0,0,0,0,10.0,303.0,57535.0,0.11,695.29
1643,H31056,0,298.0,307.8,1588,35.4,114,0,0,0,0,0,0,9.800000000000011,302.9,56215.2,0.24,786.39
1644,L48823,1,298.0,307.8,1453,37.7,119,0,0,0,0,0,0,9.800000000000011,302.9,54778.100000000006,0.01,828.16
1645,L48824,1,298.0,307.8,1622,33.3,121,0,0,0,0,0,0,9.800000000000011,302.9,54012.6,0.01,635.43
1646,L48825,1,297.9,307.8,1538,38.5,123,0,0,0,0,0,0,9.900000000000034,302.85,59213.0,0.19,789.28
1647,M16506,2,297.9,307.7,1527,42.8,125,0,0,0,0,0,0,9.800000000000011,302.79999999999995,65355.6,0.18,688.34
1648,L48827,1,297.8,307.8,1761,28.9,128,0,0,0,0,0,0,10.0,302.8,50892.899999999994,0.25,627.99
1649,L48828,1,297.9,307.8,1373,50.2,130,0,0,0,0,0,0,9.900000000000034,302.85,68924.6,0.18,879.38
1650,H31063,0,298.0,307.9,1482,37.8,132,0,0,0,0,0,0,9.899999999999977,302.95,56019.6,0.28,976.81
1651,M16510,2,298.0,307.9,1417,51.0,137,0,0,0,0,0,0,9.899999999999977,302.95,72267.0,0.09,616.1
1652,L48831,1,298.0,307.8,1414,51.7,140,0,0,0,0,0,0,9.800000000000011,302.9,73103.8,0.12,813.34
1653,H31066,0,297.9,307.8,1635,34.0,142,0,0,0,0,0,0,9.900000000000034,302.85,55590.0,0.29,978.42
1654,L48833,1,298.0,307.8,1386,57.3,147,0,0,0,0,0,0,9.800000000000011,302.9,79417.8,0.03,671.32
1655,L48834,1,298.2,308.1,1379,62.3,149,0,0,0,0,0,0,9.900000000000034,303.15,85911.7,0.24,866.0
1656,M16515,2,298.2,308.0,1577,35.9,151,0,0,0,0,0,0,9.800000000000011,303.1,56614.299999999996,0.0,815.76
1657,L48836,1,298.2,308.1,1532,42.5,154,0,0,0,0,0,0,9.900000000000034,303.15,65110.0,0.15,886.13
1658,M16517,2,298.1,308.0,1374,48.8,156,0,0,0,0,0,0,9.899999999999977,303.05,67051.2,0.05,741.35
1659,H31072,0,298.1,308.0,1570,35.3,159,0,0,0,0,0,0,9.899999999999977,303.05,55420.99999999999,0.18,845.75
1660,L48839,1,298.1,308.0,1697,31.0,164,0,0,0,0,0,0,9.899999999999977,303.05,52607.0,0.24,1040.5
1661,L48840,1,298.2,308.0,1499,44.1,166,0,0,0,0,0,0,9.800000000000011,303.1,66105.90000000001,0.01,978.67
1662,M16521,2,298.2,308.0,1411,47.2,168,0,0,0,0,0,0,9.800000000000011,303.1,66599.2,0.05,921.0
1663,H31076,0,298.2,307.9,1462,45.5,171,0,0,0,0,0,0,9.699999999999989,303.04999999999995,66521.0,0.1,919.43
1664,M16523,2,298.1,307.9,1759,28.6,176,0,0,0,0,0,0,9.799999999999955,303.0,50307.4,0.08,1006.27
1665,L48844,1,298.2,308.0,1535,38.0,179,0,0,0,0,0,0,9.800000000000011,303.1,58330.0,0.11,1209.66
1666,H31079,0,298.2,307.9,1491,39.7,181,0,0,0,0,0,0,9.699999999999989,303.04999999999995,59192.700000000004,0.29,1268.56
1667,L48846,1,298.2,307.9,1551,36.0,186,0,0,0,0,0,0,9.699999999999989,303.04999999999995,55836.0,0.03,999.03
1668,L48847,1,298.2,307.9,1769,27.2,188,0,0,0,0,0,0,9.699999999999989,303.04999999999995,48116.799999999996,0.13,1165.78
1669,L48848,1,298.2,307.9,1551,34.1,190,0,0,0,0,0,0,9.699999999999989,303.04999999999995,52889.100000000006,0.14,1066.3
1670,L48849,1,298.2,307.9,1544,31.4,192,0,0,0,0,0,0,9.699999999999989,303.04999999999995,48481.6,0.08,1067.61
1671,L48850,1,298.2,307.8,1528,31.1,194,0,0,0,0,0,0,9.600000000000023,303.0,47520.8,0.08,976.66
1672,L48851,1,298.1,307.9,1614,35.8,196,0,0,0,0,0,0,9.799999999999955,303.0,57781.2,0.21,957.42
1673,L48852,1,298.1,307.8,1432,49.8,198,0,0,0,0,0,0,9.699999999999989,302.95000000000005,71313.59999999999,0.19,1231.43
1674,M16533,2,298.1,307.8,1384,43.7,200,0,0,0,0,0,0,9.699999999999989,302.95000000000005,60480.8,0.24,1292.0
1675,L48854,1,298.1,307.8,1540,37.8,203,0,0,0,0,0,0,9.699999999999989,302.95000000000005,58211.99999999999,0.12,1091.84
1676,L48855,1,298.0,307.7,1407,43.9,205,0,0,0,0,0,0,9.699999999999989,302.85,61767.299999999996,0.18,1360.37
1677,H31090,0,297.9,307.6,1418,43.0,207,0,0,0,0,0,0,9.700000000000045,302.75,60974.0,0.27,1196.76
1678,M16537,2,297.9,307.5,1647,30.8,212,0,0,0,0,0,0,9.600000000000023,302.7,50727.6,0.26,1054.29
1679,L48858,1,298.0,307.5,1644,32.8,215,0,0,0,0,0,0,9.5,302.75,53923.2,0.28,1250.43
1680,L48859,1,298.0,307.5,1792,27.9,217,0,0,0,0,0,0,9.5,302.75,49996.799999999996,0.08,933.86
1681,M16540,2,297.9,307.4,1610,34.6,219,0,0,0,0,0,0,9.5,302.65,55706.0,0.3,1445.71
1682,M16541,2,297.8,307.3,1804,26.0,222,0,0,0,0,0,0,9.5,302.55,46904.0,0.24,1237.19
1683,H31096,0,297.9,307.4,1604,36.1,225,1,1,0,0,0,0,9.5,302.65,57904.4,1.57,2842.7
1684,M16543,2,297.9,307.4,1403,52.8,0,0,0,0,0,0,0,9.5,302.65,74078.4,0.2,344.57
1685,L48864,1,297.8,307.3,1438,44.5,3,0,0,0,0,0,0,9.5,302.55,63991.0,0.29,166.25
1686,L48865,1,297.9,307.3,1824,26.3,5,0,0,0,0,0,0,9.400000000000034,302.6,47971.200000000004,0.13,33.78
1687,H31100,0,297.9,307.3,1663,28.7,7,0,0,0,0,0,0,9.400000000000034,302.6,47728.1,0.22,335.17
1688,L48867,1,297.9,307.3,1502,36.7,12,0,0,0,0,0,0,9.400000000000034,302.6,55123.4,0.21,416.98
1689,L48868,1,297.9,307.4,1606,35.5,14,0,0,0,0,0,0,9.5,302.65,57013.0,0.22,0.0
1690,L48869,1,297.9,307.5,1561,37.7,16,0,0,0,0,0,0,9.600000000000023,302.7,58849.700000000004,0.23,352.25
1691,M16550,2,297.9,307.4,1435,42.9,18,0,0,0,0,0,0,9.5,302.65,61561.5,0.06,0.0
1692,L48871,1,297.9,307.5,1602,38.3,21,0,0,0,0,0,0,9.600000000000023,302.7,61356.6,0.1,122.72
1693,M16552,2,298.1,307.6,1764,27.7,23,0,0,0,0,0,0,9.5,302.85,48862.799999999996,0.12,399.05
1694,H31107,0,298.0,307.5,1683,27.8,26,0,0,0,0,0,0,9.5,302.75,46787.4,0.22,801.47
1695,L48874,1,298.0,307.5,1618,35.2,31,0,0,0,0,0,0,9.5,302.75,56953.600000000006,0.21,329.18
1696,L48875,1,298.0,307.6,1509,41.6,33,0,0,0,0,0,0,9.600000000000023,302.8,62774.4,0.25,227.93
1697,L48876,1,297.9,307.6,1550,39.0,35,0,0,0,0,0,0,9.700000000000045,302.75,60450.0,0.24,337.98
1698,M16557,2,297.9,307.6,1519,44.0,37,0,0,0,0,0,0,9.700000000000045,302.75,66836.0,0.18,374.91
1699,L48878,1,297.9,307.6,1481,38.0,40,0,0,0,0,0,0,9.700000000000045,302.75,56278.0,0.04,139.46
1700,L48879,1,298.1,307.7,1289,48.3,42,0,0,0,0,0,0,9.599999999999966,302.9,62258.7,0.19,261.28
1701,M16560,2,298.0,307.6,1844,23.8,44,0,0,0,0,0,0,9.600000000000023,302.8,43887.200000000004,0.27,425.97
1702,L48881,1,298.0,307.7,1479,42.5,47,0,0,0,0,0,0,9.699999999999989,302.85,62857.5,0.19,484.34
1703,L48882,1,298.0,307.7,1430,47.3,49,0,0,0,0,0,0,9.699999999999989,302.85,67639.0,0.27,489.59
1704,M16563,2,298.1,307.8,1636,36.7,51,0,0,0,0,0,0,9.699999999999989,302.95000000000005,60041.200000000004,0.3,422.76
1705,M16564,2,298.1,307.8,1503,44.7,54,0,0,0,0,0,0,9.699999999999989,302.95000000000005,67184.1,0.11,279.49
1706,M16565,2,298.1,307.8,1608,32.6,57,0,0,0,0,0,0,9.699999999999989,302.95000000000005,52420.8,0.22,442.92
1707,L48886,1,298.2,307.8,1521,42.9,60,0,0,0,0,0,0,9.600000000000023,303.0,65250.9,0.16,310.09
1708,L48887,1,298.2,307.8,1439,41.6,62,0,0,0,0,0,0,9.600000000000023,303.0,59862.4,0.14,343.93
1709,L48888,1,298.2,307.8,1627,31.5,64,0,0,0,0,0,0,9.600000000000023,303.0,51250.5,0.07,486.55
1710,L48889,1,298.2,307.8,1749,26.1,66,0,0,0,0,0,0,9.600000000000023,303.0,45648.9,0.07,365.45
1711,L48890,1,298.2,307.8,1530,35.9,68,0,0,0,0,0,0,9.600000000000023,303.0,54927.0,0.06,136.98
1712,L48891,1,298.2,307.8,1355,51.3,70,0,0,0,0,0,0,9.600000000000023,303.0,69511.5,0.19,693.74
1713,L48892,1,298.3,307.9,1551,33.8,72,0,0,0,0,0,0,9.599999999999966,303.1,52423.799999999996,0.04,462.51
1714,L48893,1,298.2,307.8,1515,46.7,74,0,0,0,0,0,0,9.600000000000023,303.0,70750.5,0.13,292.53
1715,L48894,1,298.2,307.8,1388,48.6,76,0,0,0,0,0,0,9.600000000000023,303.0,67456.8,0.16,485.19
1716,L48895,1,298.2,307.8,1585,34.6,78,0,0,0,0,0,0,9.600000000000023,303.0,54841.0,0.13,401.19
1717,L48896,1,298.1,307.7,1523,37.7,80,0,0,0,0,0,0,9.599999999999966,302.9,57417.100000000006,0.26,761.54
1718,L48897,1,298.2,307.6,1369,54.5,82,0,0,0,0,0,0,9.400000000000034,302.9,74610.5,0.13,484.25
1719,M16578,2,298.2,307.7,1681,31.0,84,0,0,0,0,0,0,9.5,302.95,52111.0,0.02,429.08
1720,L48899,1,298.2,307.7,1503,38.3,87,0,0,0,0,0,0,9.5,302.95,57564.899999999994,0.3,706.62
1721,L48900,1,298.2,307.7,1459,44.5,89,0,0,0,0,0,0,9.5,302.95,64925.5,0.25,472.98
1722,L48901,1,298.2,307.7,1688,32.4,91,0,0,0,0,0,0,9.5,302.95,54691.2,0.2,865.81
1723,M16582,2,298.2,307.7,1952,21.6,93,0,0,0,0,0,0,9.5,302.95,42163.200000000004,0.23,794.35
1724,L48903,1,298.2,307.8,2029,19.9,96,0,0,0,0,0,0,9.600000000000023,303.0,40377.1,0.04,407.89
1725,M16584,2,298.3,307.8,1457,52.5,98,0,0,0,0,0,0,9.5,303.05,76492.5,0.23,748.78
1726,M16585,2,298.3,307.8,1392,50.4,101,0,0,0,0,0,0,9.5,303.05,70156.8,0.06,711.12
1727,L48906,1,298.3,307.8,1906,22.1,104,0,0,0,0,0,0,9.5,303.05,42122.600000000006,0.15,678.36
1728,M16587,2,298.3,307.7,1602,33.4,106,0,0,0,0,0,0,9.399999999999977,303.0,53506.799999999996,0.05,813.51
1729,L48908,1,298.3,307.7,1465,49.4,109,0,0,0,0,0,0,9.399999999999977,303.0,72371.0,0.23,1212.68
1730,M16589,2,298.3,307.7,1439,43.8,111,0,0,0,0,0,0,9.399999999999977,303.0,63028.2,0.07,606.08
1731,M16590,2,298.3,307.8,1330,55.4,114,0,0,0,0,0,0,9.5,303.05,73682.0,0.08,562.62
1732,M16591,2,298.3,307.9,1485,42.0,117,0,0,0,0,0,0,9.599999999999966,303.1,62370.0,0.03,466.59
1733,H31146,0,298.4,307.9,1700,28.2,120,0,0,0,0,0,0,9.5,303.15,47940.0,0.22,487.96
1734,L48913,1,298.4,308.0,1515,42.8,125,0,0,0,0,0,0,9.600000000000023,303.2,64841.99999999999,0.09,902.22
1735,M16594,2,298.5,308.1,1501,39.2,127,0,0,0,0,0,0,9.600000000000023,303.3,58839.200000000004,0.16,741.98
1736,L48915,1,298.4,308.0,1380,47.6,130,0,0,0,0,0,0,9.600000000000023,303.2,65688.0,0.1,881.3
1737,L48916,1,298.4,307.9,1544,35.9,132,0,0,0,0,0,0,9.5,303.15,55429.6,0.23,1051.47
1738,L48917,1,298.4,307.9,1743,27.3,134,0,0,0,0,0,0,9.5,303.15,47583.9,0.07,577.85
1739,H31152,0,298.4,307.9,1948,21.4,136,0,0,0,0,0,0,9.5,303.15,41687.2,0.28,820.38
1740,H31153,0,298.5,307.9,1260,54.2,141,0,0,0,0,0,0,9.399999999999977,303.2,68292.0,0.1,1066.7
1741,M16600,2,298.5,307.9,1640,33.1,146,0,0,0,0,0,0,9.399999999999977,303.2,54284.0,0.03,749.49
1742,M16601,2,298.5,308.0,1363,49.2,149,0,0,0,0,0,0,9.5,303.25,67059.6,0.07,715.96
1743,L48922,1,298.5,308.0,1379,49.6,152,0,0,0,0,0,0,9.5,303.25,68398.40000000001,0.02,623.22
1744,M16603,2,298.5,308.0,1713,25.8,154,0,0,0,0,0,0,9.5,303.25,44195.4,0.14,888.78
1745,M16604,2,298.5,308.0,1461,51.9,157,0,0,0,0,0,0,9.5,303.25,75825.9,0.08,1091.18
1746,L48925,1,298.5,308.0,1624,29.8,160,0,0,0,0,0,0,9.5,303.25,48395.200000000004,0.27,1172.82
1747,L48926,1,298.4,308.0,1526,41.1,162,0,0,0,0,0,0,9.600000000000023,303.2,62718.6,0.16,997.26
1748,L48927,1,298.4,307.9,2381,14.2,164,0,0,0,0,0,0,9.5,303.15,33810.2,0.07,1128.28
1749,H31162,0,298.4,307.7,1626,31.1,166,0,0,0,0,0,1,9.300000000000011,303.04999999999995,50568.600000000006,2.61,3649.37
1750,L48929,1,298.3,307.7,1576,33.8,171,0,0,0,0,0,0,9.399999999999977,303.0,53268.799999999996,0.06,965.12
1751,M16610,2,298.4,307.8,1617,31.6,173,0,0,0,0,0,0,9.400000000000034,303.1,51097.200000000004,0.05,1331.42
1752,L48931,1,298.3,307.6,1942,20.6,176,0,0,0,0,0,0,9.300000000000011,302.95000000000005,40005.200000000004,0.09,932.89
